EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0
0.000972918,0.000309518,0.000671319,0,28.5785,-0.000453399,-0.000453437,0.001,-1.10736e-08,3.74745e-09,1.16268e-08,0,0,28.5785,0,0,0,293,991.618
0.0019791,0.000218836,0.00176443,0,20.1176,-0.000967218,-0.000967198,0.002,-4.6663e-08,1.69133e-08,-2.57067e-09,0,0,20.1176,0,0,0,293,1019.08
0.00297835,0.000223456,0.00275353,0,20.54,-0.00146625,-0.00146679,0.003,3.30755e-07,2.16494e-08,1.86826e-07,0,0,20.54,0,0,0,293,998.484
0.00397704,0.000236263,0.00373808,0,21.6381,-0.00196411,-0.00196535,0.004,8.10005e-07,4.10369e-08,4.10831e-07,0,0,21.6381,0,0,0,293,998.558
0.00497618,0.00024637,0.00471997,0,22.3536,-0.00246251,-0.00246461,0.005,1.41113e-06,8.76207e-08,6.62385e-07,0,0,22.3536,0,0,0,293,998.587
0.00597489,0.000258175,0.00570236,0,23.515,-0.00296002,-0.00296332,0.006,2.50434e-06,1.70053e-07,1.00464e-06,0,0,23.515,0,0,0,293,999.372
0.0069738,0.000269127,0.00668353,0,24.4897,-0.00345781,-0.00346236,0.007,3.84777e-06,2.93087e-07,1.32309e-06,0,0,24.4897,0,0,0,293,996.621
0.00797256,0.000278915,0.00767005,0,25.6162,-0.00395536,-0.00396113,0.008,5.50426e-06,4.7049e-07,1.60264e-06,0,0,25.6162,0,0,0,293,998.754
0.00897126,0.000291306,0.00865651,0,26.8016,-0.00445314,-0.00445949,0.009,6.76381e-06,6.90539e-07,1.58827e-06,0,0,26.8016,0,0,0,293,999.548
0.00997041,0.000302773,0.00963857,0,27.5651,-0.00495169,-0.00495845,0.01,7.9939e-06,9.54435e-07,1.47437e-06,0,0,27.5651,0,0,0,293,998.353
0.0109692,0.000313825,0.0106221,0,28.6299,-0.00544978,-0.00545689,0.011,9.44628e-06,1.27885e-06,1.2815e-06,0,0,28.6299,0,0,0,293,998.393
0.0119681,0.000324862,0.0116047,0,29.6887,-0.00594792,-0.0059553,0.012,1.10638e-05,1.65722e-06,1.00183e-06,0,0,29.6887,0,0,0,293,995.849
0.0129671,0.000335704,0.0125869,0,30.5819,-0.00644638,-0.00645392,0.013,1.28045e-05,2.07929e-06,6.38492e-07,0,0,30.5819,0,0,0,293,998.295
0.013966,0.000345888,0.013572,0,31.6164,-0.00694468,-0.00695226,0.014,1.48483e-05,2.59711e-06,1.50367e-07,0,0,31.6164,0,0,0,293,998.987
0.0149648,0.000357785,0.014554,0,32.722,-0.00744295,-0.00745037,0.015,1.7045e-05,3.14609e-06,-5.23388e-07,0,0,32.722,0,0,0,293,998.716
0.0159636,0.000369773,0.0155361,0,33.7823,-0.00794139,-0.00794848,0.016,1.93432e-05,3.75815e-06,-1.33068e-06,0,0,33.7823,0,0,0,293,988.875
0.0169624,0.000380856,0.0165234,0,34.8859,-0.00843991,-0.00844636,0.017,2.17843e-05,4.47288e-06,-2.36827e-06,0,0,34.8859,0,0,0,293,998.563
0.0179615,0.00039177,0.0175071,0,35.7677,-0.00893895,-0.00894445,0.018,2.4331e-05,5.29364e-06,-3.67852e-06,0,0,35.7677,0,0,0,293,999.054
0.0189602,0.000402949,0.0184943,0,36.9265,-0.00943765,-0.00944197,0.019,2.7064e-05,6.21568e-06,-5.21464e-06,0,0,36.9265,0,0,0,293,998.548
0.0199591,0.000413987,0.0194772,0,37.9566,-0.00993668,-0.00993958,0.02,2.98513e-05,7.21416e-06,-6.96105e-06,0,0,37.9566,0,0,0,293,993.189
0.0209581,0.000424839,0.0204619,0,38.8772,-0.0104359,-0.0104373,0.021,3.26801e-05,8.25923e-06,-8.83082e-06,0,0,38.8772,0,0,0,293,999.149
0.0219571,0.000435722,0.0214452,0,39.8099,-0.0109353,-0.0109349,0.022,3.55839e-05,9.36566e-06,-1.08743e-05,0,0,39.8099,0,0,0,293,998.569
0.0229558,0.000446841,0.0224323,0,40.9935,-0.0114342,-0.0114321,0.023,3.85664e-05,1.05249e-05,-1.307e-05,0,0,40.9935,0,0,0,293,998.557
0.0239547,0.000457808,0.0234162,0,42.0423,-0.0119335,-0.0119294,0.024,4.15307e-05,1.17198e-05,-1.54179e-05,0,0,42.0423,0,0,0,293,995.711
0.024954,0.000464032,0.024407,0,42.7083,-0.0124335,-0.0124273,0.025,4.43846e-05,1.29533e-05,-1.80091e-05,0,0,42.7083,0,0,0,293,998.683
0.0259535,0.000470014,0.0253962,0,43.1437,-0.0129339,-0.0129255,0.026,4.7218e-05,1.41899e-05,-2.06268e-05,0,0,43.1437,0,0,0,293,999.539
0.0269517,0.0004901,0.0263701,0,44.8348,-0.0134322,-0.0134216,0.027,4.98837e-05,1.54168e-05,-2.34173e-05,0,0,44.8348,0,0,0,293,999.128
0.0279504,0.000501188,0.0273585,0,46.0514,-0.0139314,-0.0139184,0.028,5.24078e-05,1.66499e-05,-2.64915e-05,0,0,46.0514,0,0,0,293,999.238
0.0289493,0.000512058,0.0283444,0,47.055,-0.0144311,-0.0144155,0.029,5.46718e-05,1.78694e-05,-2.98073e-05,0,0,47.055,0,0,0,293,995.497
0.0299483,0.000522748,0.0293305,0,48.0355,-0.0149308,-0.0149126,0.03,5.67458e-05,1.90626e-05,-3.32165e-05,0,0,48.0355,0,0,0,293,996.177
0.0309478,0.000528984,0.0303205,0,48.5081,-0.0154313,-0.0154105,0.031,5.86309e-05,2.02235e-05,-3.66903e-05,0,0,48.5081,0,0,0,293,999.94
0.0319464,0.00054204,0.031303,0,49.7995,-0.0159305,-0.0159072,0.032,6.04643e-05,2.13721e-05,-4.01657e-05,0,0,49.7995,0,0,0,293,997.561
0.0329451,0.000554983,0.0322855,0,51.023,-0.0164298,-0.0164039,0.033,6.22063e-05,2.2495e-05,-4.36284e-05,0,0,51.023,0,0,0,293,996.343
0.0339445,0.000561282,0.033276,0,51.5258,-0.0169302,-0.0169018,0.034,6.37327e-05,2.35598e-05,-4.70931e-05,0,0,51.5258,0,0,0,293,999.934
0.0349431,0.000574248,0.0342599,0,52.8445,-0.0174292,-0.0173985,0.035,6.51788e-05,2.4601e-05,-5.05496e-05,0,0,52.8445,0,0,0,293,997.742
0.0359422,0.000584832,0.0352463,0,53.6701,-0.017929,-0.017896,0.036,6.58444e-05,2.54108e-05,-5.4062e-05,0,0,53.6701,0,0,0,293,999.679
0.036941,0.000597431,0.0362281,0,54.813,-0.0184283,-0.018393,0.037,6.6277e-05,2.61422e-05,-5.7529e-05,0,0,54.813,0,0,0,293,996.991
0.0379403,0.000603876,0.0372187,0,55.4284,-0.0189283,-0.018891,0.038,6.64905e-05,2.67903e-05,-6.09265e-05,0,0,55.4284,0,0,0,293,999.778
0.0389391,0.000616487,0.0382016,0,56.5511,-0.0194275,-0.0193881,0.039,6.66133e-05,2.74053e-05,-6.42963e-05,0,0,56.5511,0,0,0,293,998.691
0.0399381,0.00062703,0.0391877,0,57.4791,-0.0199269,-0.0198857,0.04,6.62382e-05,2.78267e-05,-6.75271e-05,0,0,57.4791,0,0,0,293,999.557
0.0409371,0.000637492,0.040174,0,58.4265,-0.020426,-0.0203835,0.041,6.53084e-05,2.80211e-05,-7.05876e-05,0,0,58.4265,0,0,0,293,999.555
0.041936,0.000647993,0.0411603,0,59.3887,-0.0209251,-0.0208813,0.042,6.38684e-05,2.79998e-05,-7.34578e-05,0,0,59.3887,0,0,0,293,999.545
0.042935,0.00065841,0.0421467,0,60.3553,-0.0214239,-0.0213793,0.043,6.19646e-05,2.77779e-05,-7.61251e-05,0,0,60.3553,0,0,0,293,999.545
0.0439339,0.000668843,0.043133,0,61.3149,-0.0219227,-0.0218774,0.044,5.9587e-05,2.73473e-05,-7.85595e-05,0,0,61.3149,0,0,0,293,999.482
0.0449329,0.000679194,0.0441196,0,62.2809,-0.0224212,-0.0223757,0.045,5.67944e-05,2.67298e-05,-8.07591e-05,0,0,62.2809,0,0,0,293,999.498
0.0459318,0.000689584,0.0451064,0,63.2617,-0.0229197,-0.0228741,0.046,5.36457e-05,2.595e-05,-8.27317e-05,0,0,63.2617,0,0,0,293,999.549
0.0469308,0.00069987,0.0460933,0,64.2276,-0.023418,-0.0233726,0.047,5.01377e-05,2.50047e-05,-8.44532e-05,0,0,64.2276,0,0,0,293,999.517
0.0479299,0.000709969,0.0470767,0,65.0057,-0.0239165,-0.0238716,0.048,4.6305e-05,2.39076e-05,-8.59239e-05,0,0,65.0057,0,0,0,293,998.613
0.0489288,0.000720227,0.0480632,0,66.0151,-0.0244145,-0.0243703,0.049,4.22816e-05,2.27074e-05,-8.71981e-05,0,0,66.0151,0,0,0,293,999.405
0.0499277,0.000730488,0.0490501,0,67.0145,-0.0249124,-0.0248691,0.05,3.79999e-05,2.13713e-05,-8.82004e-05,0,0,67.0145,0,0,0,293,999.452
0.0509268,0.00074045,0.0500339,0,67.82,-0.0254105,-0.0253684,0.051,3.3492e-05,1.99167e-05,-8.8948e-05,0,0,67.82,0,0,0,293,998.582
0.0519257,0.000750662,0.0510207,0,68.8406,-0.0259081,-0.0258674,0.052,2.8874e-05,1.83943e-05,-8.95339e-05,0,0,68.8406,0,0,0,293,999.389
0.0529246,0.00076077,0.0520081,0,69.8486,-0.0264057,-0.0263666,0.053,2.4089e-05,1.67732e-05,-8.98679e-05,0,0,69.8486,0,0,0,293,999.481
0.0539238,0.000770663,0.0529923,0,70.6452,-0.0269035,-0.0268661,0.054,1.91668e-05,1.50721e-05,-8.99813e-05,0,0,70.6452,0,0,0,293,998.532
0.0549228,0.000780549,0.0539769,0,71.5178,-0.0274011,-0.0273657,0.055,1.4181e-05,1.33242e-05,-8.99526e-05,0,0,71.5178,0,0,0,293,998.657
0.0559218,0.000790454,0.0549614,0,72.4029,-0.0278987,-0.0278652,0.056,9.14179e-06,1.15313e-05,-8.97744e-05,0,0,72.4029,0,0,0,293,998.626
0.0569203,0.000803258,0.0559479,0,73.8161,-0.028395,-0.0283643,0.057,3.86171e-06,9.48301e-06,-8.86692e-05,0,0,73.8161,0,0,0,293,997.012
0.0579193,0.000811644,0.0569365,0,74.7213,-0.0288916,-0.0288647,0.058,-1.66276e-06,7.20917e-06,-8.65989e-05,0,0,74.7213,0,0,0,293,996.995
0.0589185,0.00082134,0.057924,0,75.4626,-0.0293885,-0.0293654,0.059,-7.23801e-06,4.87395e-06,-8.42367e-05,0,0,75.4626,0,0,0,293,999.866
0.0599175,0.000831065,0.0589103,0,76.4121,-0.0298847,-0.0298661,0.06,-1.28721e-05,2.43778e-06,-8.12993e-05,0,0,76.4121,0,0,0,293,997.307
0.0609166,0.000840705,0.0598977,0,77.1908,-0.0303812,-0.0303671,0.061,-1.84903e-05,-3.75162e-08,-7.80724e-05,0,0,77.1908,0,0,0,293,999.838
0.0619157,0.000850246,0.0608849,0,77.9944,-0.0308774,-0.0308683,0.062,-2.40516e-05,-2.56401e-06,-7.43314e-05,0,0,77.9944,0,0,0,293,999.802
0.0629147,0.000859892,0.0618707,0,78.9399,-0.0313732,-0.0313694,0.063,-2.94865e-05,-5.11543e-06,-7.012e-05,0,0,78.9399,0,0,0,293,997.436
0.0639137,0.000869439,0.0628568,0,79.8636,-0.0318689,-0.0318706,0.064,-3.47999e-05,-7.66404e-06,-6.56697e-05,0,0,79.8636,0,0,0,293,997.547
0.0649128,0.000878957,0.0638447,0,80.7002,-0.0323648,-0.0323721,0.065,-4.00011e-05,-1.02017e-05,-6.10348e-05,0,0,80.7002,0,0,0,293,999.861
0.0659119,0.000888337,0.0648323,0,81.5189,-0.0328605,-0.0328737,0.066,-4.49657e-05,-1.27027e-05,-5.59897e-05,0,0,81.5189,0,0,0,293,999.784
0.066911,0.000897753,0.0658181,0,82.4044,-0.033356,-0.0333753,0.067,-4.96493e-05,-1.51464e-05,-5.05822e-05,0,0,82.4044,0,0,0,293,997.686
0.06791,0.00090708,0.0668059,0,83.2454,-0.0338515,-0.033877,0.068,-5.4149e-05,-1.75476e-05,-4.50164e-05,0,0,83.2454,0,0,0,293,999.785
0.0689091,0.000916423,0.067794,0,84.1112,-0.0343469,-0.0343788,0.069,-5.83389e-05,-1.98668e-05,-3.91589e-05,0,0,84.1112,0,0,0,293,999.822
0.0699082,0.000925655,0.0687821,0,84.9652,-0.0348423,-0.0348806,0.07,-6.21843e-05,-2.20861e-05,-3.30236e-05,0,0,84.9652,0,0,0,293,999.798
0.0709073,0.000934886,0.0697701,0,85.8119,-0.0353376,-0.0353826,0.071,-6.56514e-05,-2.41884e-05,-2.66284e-05,0,0,85.8119,0,0,0,293,999.757
0.0719067,0.000943681,0.0707535,0,86.3239,-0.0358334,-0.0358851,0.072,-6.8759e-05,-2.6173e-05,-2.00209e-05,0,0,86.3239,0,0,0,293,998.776
0.0729057,0.000952881,0.0717407,0,87.2446,-0.0363285,-0.036387,0.073,-7.15038e-05,-2.80453e-05,-1.32789e-05,0,0,87.2446,0,0,0,293,999.64
0.0739038,0.000965232,0.0727312,0,89.0534,-0.036822,-0.0368875,0.074,-7.27646e-05,-2.94157e-05,-5.94182e-06,0,0,89.0534,0,0,0,293,988.126
0.0749033,0.000971872,0.0737224,0,89.456,-0.037318,-0.0373902,0.075,-7.27033e-05,-3.02003e-05,1.48055e-06,0,0,89.456,0,0,0,293,1000.4
0.075903,0.000980338,0.0747056,0,89.7587,-0.0378141,-0.0378931,0.076,-7.21878e-05,-3.08005e-05,9.10201e-06,0,0,89.7587,0,0,0,293,998.929
0.0769021,0.000989219,0.0756932,0,90.5992,-0.0383094,-0.0383951,0.077,-7.12079e-05,-3.12336e-05,1.6794e-05,0,0,90.5992,0,0,0,293,999.791
0.0779011,0.000998135,0.0766814,0,91.4746,-0.0388047,-0.038897,0.078,-6.97726e-05,-3.14951e-05,2.453e-05,0,0,91.4746,0,0,0,293,999.878
0.0789002,0.00100693,0.0776697,0,92.3255,-0.0393,-0.0393989,0.079,-6.78931e-05,-3.15817e-05,3.22822e-05,0,0,92.3255,0,0,0,293,999.872
0.0798993,0.00101571,0.0786581,0,93.1577,-0.0397954,-0.0399008,0.08,-6.55824e-05,-3.14914e-05,4.00196e-05,0,0,93.1577,0,0,0,293,999.843
0.0808984,0.00102612,0.0796454,0,94.0535,-0.0402909,-0.0404024,0.081,-6.20281e-05,-3.08752e-05,4.77791e-05,0,0,94.0535,0,0,0,293,1000.01
