EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0
0.000552965,0.000106629,0.000476824,0,10.7844,-0.000248257,-0.000216598,0.0005,-6.8107e-05,9.86748e-05,-0.000187248,0,0,10.7844,0,0,0,298,0.121949
0.0011614,0.000108042,0.00108653,0,10.884,-0.00051891,-0.00044562,0.001,-0.000172436,0.000240543,-0.000435311,0,0,10.884,0,0,0,298,0.122292
0.00177222,0.000109486,0.00169599,0,10.9636,-0.000789695,-0.000674576,0.0015,-0.000276386,0.00038324,-0.000683617,0,0,10.9636,0,0,0,298,0.122358
0.00238419,0.000110036,0.00230812,0,11.0185,-0.00106226,-0.00090183,0.002,-0.000376693,0.000530032,-0.000932164,0,0,11.0185,0,0,0,298,0.122497
0.00299559,0.000112222,0.00291838,0,11.238,-0.00133451,-0.00112886,0.0025,-0.000476093,0.000676802,-0.0011799,0,0,11.238,0,0,0,298,0.122339
0.00360714,0.000114469,0.0035287,0,11.4663,-0.00160678,-0.00135585,0.003,-0.000575243,0.000823953,-0.00142761,0,0,11.4663,0,0,0,298,0.122348
0.00421882,0.000116713,0.00413908,0,11.6931,-0.00187909,-0.0015828,0.0035,-0.000674189,0.000971476,-0.00167532,0,0,11.6931,0,0,0,298,0.122364
0.00483063,0.000119,0.00474959,0,11.9266,-0.00215137,-0.00180976,0.004,-0.000772933,0.0011194,-0.00192306,0,0,11.9266,0,0,0,298,0.122383
0.0054426,0.000121304,0.00536025,0,12.1627,-0.00242358,-0.00203678,0.0045,-0.000871512,0.00126775,-0.0021709,0,0,12.1627,0,0,0,298,0.122413
0.00605476,0.000123612,0.00597108,0,12.3993,-0.00269572,-0.00226387,0.005,-0.000969947,0.00141653,-0.00241887,0,0,12.3993,0,0,0,298,0.122447
0.0066671,0.000125922,0.00658209,0,12.6361,-0.00296777,-0.00249105,0.0055,-0.00106825,0.00156573,-0.00266695,0,0,12.6361,0,0,0,298,0.122482
0.00727962,0.00012823,0.00719327,0,12.8726,-0.00323974,-0.00271831,0.006,-0.00116642,0.00171536,-0.00291517,0,0,12.8726,0,0,0,298,0.122517
0.00789232,0.000130534,0.00780464,0,13.1089,-0.00351162,-0.00294566,0.0065,-0.00126447,0.0018654,-0.00316351,0,0,13.1089,0,0,0,298,0.122551
0.00850519,0.000132834,0.00841618,0,13.3452,-0.00378341,-0.0031731,0.007,-0.0013624,0.00201583,-0.00341198,0,0,13.3452,0,0,0,298,0.122585
0.00911823,0.000135141,0.00902788,0,13.5818,-0.00405509,-0.00340065,0.0075,-0.00146022,0.00216667,-0.00366057,0,0,13.5818,0,0,0,298,0.122619
0.00973145,0.00013745,0.00963975,0,13.8184,-0.00432667,-0.00362829,0.008,-0.00155794,0.0023179,-0.0039093,0,0,13.8184,0,0,0,298,0.122654
0.0103448,0.000139758,0.0102518,0,14.0548,-0.00459816,-0.00385604,0.0085,-0.00165555,0.00246954,-0.00415814,0,0,14.0548,0,0,0,298,0.122688
0.0109584,0.000142066,0.010864,0,14.2908,-0.00486955,-0.00408388,0.009,-0.00175305,0.00262157,-0.00440711,0,0,14.2908,0,0,0,298,0.122722
0.0115721,0.000144372,0.0114764,0,14.5266,-0.00514085,-0.00431181,0.0095,-0.00185045,0.00277399,-0.0046562,0,0,14.5266,0,0,0,298,0.122755
0.012186,0.00014668,0.0120889,0,14.7623,-0.00541204,-0.00453985,0.01,-0.00194775,0.0029268,-0.0049054,0,0,14.7623,0,0,0,298,0.122789
0.0128001,0.000148987,0.0127016,0,14.998,-0.00568313,-0.00476799,0.0105,-0.00204495,0.00308,-0.00515473,0,0,14.998,0,0,0,298,0.122823
0.0134143,0.000151293,0.0133145,0,15.2336,-0.00595412,-0.00499624,0.011,-0.00214205,0.00323358,-0.00540418,0,0,15.2336,0,0,0,298,0.122857
0.0140287,0.000153598,0.0139275,0,15.4688,-0.006225,-0.00522459,0.0115,-0.00223906,0.00338756,-0.00565376,0,0,15.4688,0,0,0,298,0.122891
0.0146433,0.000155901,0.0145408,0,15.7037,-0.00649577,-0.00545305,0.012,-0.00233598,0.00354191,-0.00590345,0,0,15.7037,0,0,0,298,0.122925
0.015258,0.000158203,0.0151542,0,15.9385,-0.00676643,-0.00568163,0.0125,-0.00243282,0.00369664,-0.00615328,0,0,15.9385,0,0,0,298,0.12296
0.0158729,0.000160503,0.0157677,0,16.1729,-0.00703697,-0.00591032,0.013,-0.00252957,0.00385175,-0.00640322,0,0,16.1729,0,0,0,298,0.122994
0.016488,0.000162801,0.0163815,0,16.4072,-0.0073074,-0.00613913,0.0135,-0.00262624,0.00400724,-0.0066533,0,0,16.4072,0,0,0,298,0.123029
0.0171028,0.000167086,0.0169935,0,16.8367,-0.00757964,-0.00636549,0.014,-0.00271721,0.0041673,-0.00690245,0,0,16.8367,0,0,0,298,0.123287
0.0177208,0.000169136,0.0176102,0,17.0411,-0.00785802,-0.00658644,0.0145,-0.00279683,0.00434055,-0.00715302,0,0,17.0411,0,0,0,298,0.12406
0.0183408,0.000171425,0.0182288,0,17.2697,-0.00814322,-0.0068005,0.015,-0.00286178,0.00452834,-0.00740354,0,0,17.2697,0,0,0,298,0.124731
0.0189642,0.000173529,0.0188509,0,17.4794,-0.00843788,-0.00700516,0.0155,-0.0029068,0.00473619,-0.00765427,0,0,17.4794,0,0,0,298,0.124501
0.019592,0.00017554,0.0194776,0,17.6798,-0.00874414,-0.00719824,0.016,-0.00292725,0.0049686,-0.00790515,0,0,17.6798,0,0,0,298,0.126523
0.0202255,0.000177256,0.0201101,0,17.8505,-0.0090627,-0.00737913,0.0165,-0.00292173,0.00522713,-0.00815631,0,0,17.8505,0,0,0,298,0.132357
0.0208647,0.000179219,0.0207483,0,18.0459,-0.00939192,-0.00754927,0.017,-0.00289302,0.00550868,-0.00840746,0,0,18.0459,0,0,0,298,0.134812
0.0215096,0.000180852,0.0213924,0,18.2081,-0.0097287,-0.00771196,0.0175,-0.00284794,0.00580701,-0.00865895,0,0,18.2081,0,0,0,298,0.131583
0.0221599,0.000182387,0.0220421,0,18.3605,-0.0100711,-0.00786911,0.018,-0.00279015,0.00611847,-0.0089107,0,0,18.3605,0,0,0,298,0.138976
0.0228147,0.000183403,0.0226965,0,18.4607,-0.0104158,-0.00802402,0.0185,-0.00272672,0.00643635,-0.00916289,0,0,18.4607,0,0,0,298,0.139672
0.023473,0.000184244,0.0233546,0,18.5432,-0.0107615,-0.00817809,0.019,-0.00266072,0.00675741,-0.00941526,0,0,18.5432,0,0,0,298,0.140044
0.024134,0.0001858,0.0240148,0,18.6976,-0.0111072,-0.00833184,0.0195,-0.00259279,0.00708056,-0.00966732,0,0,18.6976,0,0,0,298,0.140316
0.0247976,0.000187352,0.0246779,0,18.8517,-0.0114527,-0.00848585,0.02,-0.0025242,0.00740509,-0.00991946,0,0,18.8517,0,0,0,298,0.140503
0.0254638,0.000188906,0.0253434,0,19.0059,-0.0117978,-0.00864021,0.0205,-0.00245513,0.00773083,-0.0101717,0,0,19.0059,0,0,0,298,0.140657
0.0261324,0.000190453,0.0260113,0,19.1593,-0.0121427,-0.00879487,0.021,-0.00238545,0.00805784,-0.010424,0,0,19.1593,0,0,0,298,0.140832
0.0268034,0.000191992,0.0266816,0,19.312,-0.0124872,-0.00894984,0.0215,-0.00231518,0.00838608,-0.0106765,0,0,19.312,0,0,0,298,0.141003
