EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0
0.000489497,6.91486e-05,0.000427481,0,10.6832,-0.000232571,-0.000232616,0.0005,-1.65338e-14,3.54481e-18,8.57715e-15,0,0,10.6832,0,0,0,298,0.0999906
0.000988712,7.07342e-05,0.000925658,0,10.9162,-0.000482166,-0.000482262,0.001,-3.66262e-14,9.20438e-18,2.21598e-14,0,0,10.9162,0,0,0,298,0.0999624
0.00148827,7.23185e-05,0.00142408,0,11.1673,-0.000731728,-0.000731881,0.0015,-6.38868e-14,1.38271e-17,4.38578e-14,0,0,11.1673,0,0,0,298,0.0999994
0.00198797,7.37437e-05,0.00192229,0,11.3604,-0.000981388,-0.000981592,0.002,-6.40529e-14,1.85573e-17,4.22774e-14,0,0,11.3604,0,0,0,298,0.0998829
0.00248767,7.51549e-05,0.00242062,0,11.5835,-0.00123099,-0.00123126,0.0025,-1.04697e-13,2.22021e-17,7.47489e-14,0,0,11.5835,0,0,0,298,0.0998758
0.00298738,7.6724e-05,0.00291872,0,11.8257,-0.00148054,-0.00148092,0.003,-2.00344e-13,2.56863e-17,1.5202e-13,0,0,11.8257,0,0,0,298,0.099964
0.00348715,7.79177e-05,0.00341696,0,12.0141,-0.00173012,-0.00173073,0.0035,-6.00587e-13,2.7923e-17,6.48138e-13,0,0,12.0141,0,0,0,298,0.0999158
0.00398701,7.88903e-05,0.00391504,0,12.1145,-0.00197983,-0.0019807,0.004,-1.03264e-12,3.12705e-17,1.17007e-12,0,0,12.1145,0,0,0,298,0.0999969
0.00448669,8.08864e-05,0.00441151,0,12.4028,-0.00222917,-0.00223041,0.0045,-1.62813e-12,3.47475e-17,1.84565e-12,0,0,12.4028,0,0,0,298,0.0999179
0.00498647,8.22002e-05,0.00490896,0,12.5988,-0.0024785,-0.00248044,0.005,-2.6747e-12,3.85023e-17,3.0394e-12,0,0,12.5988,0,0,0,298,0.0999112
0.00548619,8.36695e-05,0.00540691,0,12.8466,-0.00272767,-0.00273046,0.0055,-3.81975e-12,4.21994e-17,4.36383e-12,0,0,12.8466,0,0,0,298,0.0998546
0.00598587,8.52361e-05,0.00590518,0,13.1314,-0.00297673,-0.00298048,0.006,-4.99277e-12,4.49847e-17,5.7688e-12,0,0,13.1314,0,0,0,298,0.100009
0.00648568,8.64706e-05,0.00640312,0,13.3038,-0.00322584,-0.00323081,0.0065,-6.25056e-12,4.74345e-17,7.42937e-12,0,0,13.3038,0,0,0,298,0.100003
0.00698538,8.80805e-05,0.00690141,0,13.5768,-0.00347474,-0.00348102,0.007,-7.46615e-12,4.84255e-17,9.1196e-12,0,0,13.5768,0,0,0,298,0.0998897
0.00748513,8.94296e-05,0.00740005,0,13.8007,-0.00372367,-0.00373136,0.0075,-8.5389e-12,4.75173e-17,1.07637e-11,0,0,13.8007,0,0,0,298,0.100035
0.00798489,9.07872e-05,0.00789875,0,14.0145,-0.00397258,-0.00398175,0.008,-9.45834e-12,4.47343e-17,1.23467e-11,0,0,14.0145,0,0,0,298,0.10006
0.00848466,9.2174e-05,0.00839745,0,14.2311,-0.00422145,-0.00423218,0.0085,-1.02216e-11,4.1396e-17,1.38552e-11,0,0,14.2311,0,0,0,298,0.100055
0.00898442,9.35591e-05,0.00889607,0,14.4464,-0.00447028,-0.00448264,0.009,-1.08423e-11,3.87379e-17,1.52922e-11,0,0,14.4464,0,0,0,298,0.100025
0.00948413,9.50974e-05,0.00939474,0,14.7088,-0.004719,-0.00473306,0.0095,-1.1362e-11,3.67541e-17,1.66827e-11,0,0,14.7088,0,0,0,298,0.0999078
0.00998407,9.58749e-05,0.00989318,0,14.7676,-0.00496803,-0.00498385,0.01,-1.17842e-11,3.48044e-17,1.80024e-11,0,0,14.7676,0,0,0,298,0.100003
0.0104838,9.77947e-05,0.0103896,0,15.0114,-0.00521669,-0.00523439,0.0105,-1.22329e-11,3.70922e-17,1.93686e-11,0,0,15.0114,0,0,0,298,0.0999499
0.0109836,9.92224e-05,0.0108873,0,15.2137,-0.00546529,-0.00548513,0.011,-1.2753e-11,4.22217e-17,2.08058e-11,0,0,15.2137,0,0,0,298,0.0998653
0.0114833,0.000100696,0.0113854,0,15.4687,-0.0057135,-0.00573609,0.0115,-1.36115e-11,4.83344e-17,2.27544e-11,0,0,15.4687,0,0,0,298,0.0998791
0.0119831,0.000102016,0.0118831,0,15.6709,-0.00596144,-0.00598749,0.012,-1.46945e-11,5.75274e-17,2.50612e-11,0,0,15.6709,0,0,0,298,0.0999997
0.0124828,0.000103456,0.0123815,0,15.9321,-0.00620914,-0.00623894,0.0125,-1.57393e-11,6.35092e-17,2.73858e-11,0,0,15.9321,0,0,0,298,0.0998417
0.0129827,0.000104326,0.0128797,0,16.0104,-0.00645705,-0.00649077,0.013,-1.67158e-11,6.89369e-17,2.96719e-11,0,0,16.0104,0,0,0,298,0.100028
0.0134823,0.000106141,0.013378,0,16.366,-0.00670442,-0.00674225,0.0135,-1.77032e-11,7.5182e-17,3.20106e-11,0,0,16.366,0,0,0,298,0.0999602
0.0139822,0.000107053,0.0138766,0,16.4944,-0.00695207,-0.00699418,0.014,-1.86125e-11,7.99659e-17,3.42981e-11,0,0,16.4944,0,0,0,298,0.0999868
0.014482,0.000108663,0.0143737,0,16.7052,-0.00719951,-0.00724605,0.0145,-1.94813e-11,8.53727e-17,3.65814e-11,0,0,16.7052,0,0,0,298,0.0999119
0.0149816,0.000110395,0.0148717,0,17.0058,-0.00744671,-0.00749788,0.015,-2.03503e-11,8.82023e-17,3.88905e-11,0,0,17.0058,0,0,0,298,0.099956
0.0154814,0.000111936,0.01537,0,17.2605,-0.00769384,-0.00774991,0.0155,-2.11384e-11,8.95605e-17,4.11652e-11,0,0,17.2605,0,0,0,298,0.0999169
0.0159812,0.000113297,0.0158679,0,17.4292,-0.00794095,-0.00800226,0.016,-2.18206e-11,9.17092e-17,4.3386e-11,0,0,17.4292,0,0,0,298,0.0998946
0.016481,0.000114549,0.0163656,0,17.6038,-0.00818739,-0.00825524,0.0165,-2.27725e-11,9.22165e-17,4.61876e-11,0,0,17.6038,0,0,0,298,0.0998929
0.0169808,0.0001159,0.016864,0,17.851,-0.00843355,-0.00850828,0.017,-2.37171e-11,9.13982e-17,4.90127e-11,0,0,17.851,0,0,0,298,0.0998499
0.0174806,0.000117376,0.0173615,0,18.0176,-0.0086797,-0.00876158,0.0175,-2.46216e-11,9.28767e-17,5.18188e-11,0,0,18.0176,0,0,0,298,0.0999668
0.0179803,0.000118889,0.0178601,0,18.3194,-0.00892476,-0.00901554,0.018,-2.59155e-11,9.54384e-17,5.54449e-11,0,0,18.3194,0,0,0,298,0.100062
0.0184801,0.000120268,0.0183583,0,18.5186,-0.00916931,-0.00927034,0.0185,-2.70543e-11,9.50234e-17,5.90541e-11,0,0,18.5186,0,0,0,298,0.0998751
0.0189798,0.000121648,0.0188571,0,18.7658,-0.00941346,-0.00952539,0.019,-2.80125e-11,9.52178e-17,6.25625e-11,0,0,18.7658,0,0,0,298,0.100079
0.0194796,0.000123065,0.0193558,0,19.0055,-0.00965728,-0.00978078,0.0195,-2.87651e-11,9.72601e-17,6.59425e-11,0,0,19.0055,0,0,0,298,0.100047
0.0199794,0.00012445,0.019854,0,19.194,-0.00990092,-0.0100365,0.02,-2.93399e-11,9.99973e-17,6.92039e-11,0,0,19.194,0,0,0,298,0.0999964
0.0204791,0.000125957,0.020353,0,19.4768,-0.010144,-0.0102925,0.0205,-2.97738e-11,9.9824e-17,7.23764e-11,0,0,19.4768,0,0,0,298,0.100099
0.020979,0.000127203,0.0208509,0,19.6096,-0.0103862,-0.0105499,0.021,-2.99737e-11,9.8028e-17,7.53767e-11,0,0,19.6096,0,0,0,298,0.0999294
0.0214788,0.000128684,0.0213493,0,19.847,-0.0106278,-0.0108075,0.0215,-3.01092e-11,9.76045e-17,7.83334e-11,0,0,19.847,0,0,0,298,0.100031
0.0219787,0.000129888,0.0218472,0,19.9988,-0.010868,-0.0110668,0.022,-3.02464e-11,9.20355e-17,8.13443e-11,0,0,19.9988,0,0,0,298,0.099941
0.0224786,0.000130717,0.0223456,0,20.0754,-0.011108,-0.0113265,0.0225,-3.03439e-11,8.50472e-17,8.43139e-11,0,0,20.0754,0,0,0,298,0.100083
0.0229783,0.000132556,0.0228439,0,20.4301,-0.0113472,-0.0115863,0.023,-3.04659e-11,7.62856e-17,8.73127e-11,0,0,20.4301,0,0,0,298,0.0999998
