EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0
0.000942939,0.000942856,6.72179e-08,0,106.352,-0.000321442,-0.000331584,0.001,-2.72861e-06,-3.07924e-06,1.37759e-06,0,0,106.352,0,0,0,293,4.7147e+07
0.00188588,0.00188563,2.02614e-07,0,212.66,-0.000642674,-0.000662954,0.002,-5.45266e-06,-6.15329e-06,2.75462e-06,0,0,212.66,0,0,0,293,4.71473e+07
0.00282884,0.00282832,3.91632e-07,0,318.918,-0.000963642,-0.000994057,0.003,-8.17134e-06,-9.22146e-06,4.13109e-06,0,0,318.918,0,0,0,293,4.71477e+07
0.0037718,0.00377096,6.15877e-07,0,425.136,-0.00128439,-0.00132494,0.004,-1.08857e-05,-1.22849e-05,5.50716e-06,0,0,425.136,0,0,0,293,4.7148e+07
0.00471476,0.00471355,8.78221e-07,0,531.313,-0.00160492,-0.0016556,0.005,-1.35958e-05,-1.53437e-05,6.88282e-06,0,0,531.313,0,0,0,293,4.71484e+07
0.00565774,0.00565606,1.19e-06,0,637.449,-0.00192524,-0.00198604,0.006,-1.63018e-05,-1.83978e-05,8.25804e-06,0,0,637.449,0,0,0,293,4.71487e+07
0.00660072,0.00659849,1.57206e-06,0,743.541,-0.00224534,-0.00231626,0.007,-1.90036e-05,-2.14469e-05,9.63272e-06,0,0,743.541,0,0,0,293,4.71491e+07
0.00754371,0.00754081,2.05926e-06,0,849.586,-0.00256524,-0.00264628,0.008,-2.17011e-05,-2.4491e-05,1.10067e-05,0,0,849.586,0,0,0,293,4.71494e+07
0.0084867,0.00848295,2.70958e-06,0,955.577,-0.00288495,-0.0029761,0.009,-2.43941e-05,-2.75294e-05,1.23799e-05,0,0,955.577,0,0,0,293,4.71498e+07
0.0094297,0.00942484,3.62171e-06,0,1061.5,-0.00320448,-0.00330573,0.01,-2.70823e-05,-3.05617e-05,1.37517e-05,0,0,1061.5,0,0,0,293,4.71501e+07
0.0103727,0.0103663,4.96906e-06,0,1167.35,-0.00352387,-0.00363521,0.011,-2.97648e-05,-3.35868e-05,1.51216e-05,0,0,1167.35,0,0,0,293,4.71504e+07
0.0113157,0.0113071,7.06675e-06,0,1273.08,-0.00384317,-0.00396459,0.012,-3.24401e-05,-3.66026e-05,1.64882e-05,0,0,1273.08,0,0,0,293,4.71506e+07
0.0122587,0.0122467,1.0508e-05,0,1378.63,-0.00416251,-0.00429396,0.013,-3.5105e-05,-3.96058e-05,1.7849e-05,0,0,1378.63,0,0,0,293,4.71505e+07
0.0132017,0.013184,1.645e-05,0,1483.88,-0.00448209,-0.00462353,0.014,-3.77529e-05,-4.25901e-05,1.91993e-05,0,0,1483.88,0,0,0,293,4.71501e+07
0.0141447,0.0141169,2.72301e-05,0,1588.58,-0.00480235,-0.00495368,0.015,-4.03687e-05,-4.55433e-05,2.0529e-05,0,0,1588.58,0,0,0,293,4.71489e+07
0.0150876,0.0150412,4.77355e-05,0,1692.22,-0.0051242,-0.00528524,0.016,-4.29187e-05,-4.84408e-05,2.18168e-05,0,0,1692.22,0,0,0,293,4.71465e+07
0.0160304,0.0159472,8.85234e-05,0,1793.68,-0.00544959,-0.00562002,0.017,-4.53241e-05,-5.12322e-05,2.30157e-05,0,0,1793.68,0,0,0,293,4.71429e+07
0.016973,0.0168141,0.000173079,0,1890.48,-0.00578286,-0.00596206,0.018,-4.7397e-05,-5.3809e-05,2.40185e-05,0,0,1890.48,0,0,0,293,4.71435e+07
0.0179152,0.0175941,0.000354831,0,1976.98,-0.00613384,-0.00632056,0.019,-4.86997e-05,-5.59421e-05,2.45753e-05,0,0,1976.98,0,0,0,293,4.71898e+07
0.0188569,0.0181775,0.000756251,0,2040.25,-0.00652496,-0.00671674,0.02,-4.81261e-05,-5.70904e-05,2.4096e-05,0,0,2040.25,0,0,0,293,4.75251e+07
0.0198005,0.0183196,0.00165076,0,2051.4,-0.00700616,-0.00719804,0.021,-4.30566e-05,-5.60429e-05,2.12178e-05,0,0,2051.4,0,0,0,293,4.94078e+07
0.0207604,0.0175302,0.00358545,0,1952.57,-0.00767689,-0.0078591,0.022,-2.77488e-05,-5.0201e-05,1.30622e-05,0,0,1952.57,0,0,0,293,5.77009e+07
0.0217913,0.0151727,0.00726568,0,1668.87,-0.00866492,-0.00881946,0.023,7.25928e-06,-3.51377e-05,-5.05319e-06,0,0,1668.87,0,0,0,293,7.95976e+07
0.0229312,0.0120472,0.011769,0,1297.45,-0.00980808,-0.00991081,0.024,5.93518e-05,-9.88927e-06,-3.71374e-05,0,0,1297.45,0,0,0,293,9.15667e+07
0.0240751,0.00986253,0.0151896,0,1040.54,-0.0107764,-0.0107931,0.025,9.79958e-05,2.51612e-05,-6.60094e-05,0,0,1040.54,0,0,0,293,7.57917e+07
0.0251699,0.00863945,0.0175396,0,897.216,-0.0115457,-0.0114972,0.026,0.000118177,6.38059e-05,-7.97927e-05,0,0,897.216,0,0,0,293,6.21294e+07
0.0262131,0.0081067,0.0191347,0,834.076,-0.0121745,-0.0120768,0.027,0.000125022,9.50786e-05,-9.30703e-05,0,0,834.076,0,0,0,293,5.44233e+07
0.027229,0.00790371,0.0203736,0,808.758,-0.0127432,-0.0125916,0.028,0.000129458,0.00011835,-0.000108731,0,0,808.758,0,0,0,293,5.15922e+07
0.028233,0.00784065,0.0214631,0,799.32,-0.0132906,-0.0130754,0.029,0.000138143,0.000136636,-0.000127974,0,0,799.32,0,0,0,293,5.05992e+07
0.0292312,0.00784603,0.0224805,0,797.562,-0.0138297,-0.0135421,0.03,0.00015209,0.000155043,-0.000144241,0,0,797.562,0,0,0,293,5.01675e+07
0.0302259,0.0078922,0.0234551,0,800.327,-0.0143613,-0.0140014,0.031,0.000168711,0.000174873,-0.000157953,0,0,800.327,0,0,0,293,4.99222e+07
0.0312185,0.0079629,0.024404,0,805.824,-0.0148862,-0.0144583,0.032,0.000185832,0.000193458,-0.000170266,0,0,805.824,0,0,0,293,4.97703e+07
0.0322106,0.00804048,0.0253456,0,812.135,-0.015409,-0.0149147,0.033,0.000203326,0.00020985,-0.000181743,0,0,812.135,0,0,0,293,4.97232e+07
0.0332034,0.00811168,0.0262929,0,817.822,-0.0159348,-0.0153702,0.034,0.000220705,0.000225259,-0.0001935,0,0,817.822,0,0,0,293,4.97594e+07
0.0341979,0.00816401,0.0272584,0,821.601,-0.0164643,-0.0158282,0.035,0.000237601,0.000239514,-0.00020622,0,0,821.601,0,0,0,293,4.98602e+07
0.0351954,0.00818452,0.0282543,0,822.106,-0.0169983,-0.0162925,0.036,0.000253359,0.000251128,-0.000219019,0,0,822.106,0,0,0,293,5.00309e+07
0.036197,0.00816094,0.0292924,0,818.152,-0.0175386,-0.0167652,0.037,0.000267284,0.000260032,-0.000231217,0,0,818.152,0,0,0,293,5.02731e+07
0.0372036,0.00808136,0.0303836,0,808.56,-0.0180871,-0.0172484,0.038,0.000279269,0.000265982,-0.000242517,0,0,808.56,0,0,0,293,5.05949e+07
0.0382159,0.00794166,0.0315312,0,792.976,-0.0186448,-0.0177421,0.039,0.000289834,0.000268116,-0.000253371,0,0,792.976,0,0,0,293,5.09556e+07
0.0392332,0.00774936,0.0327275,0,772.213,-0.0192126,-0.0182428,0.04,0.000302619,0.000267083,-0.000263554,0,0,772.213,0,0,0,293,5.12881e+07
0.0402543,0.00752045,0.0339575,0,747.898,-0.019791,-0.0187445,0.041,0.000319307,0.000269536,-0.000272109,0,0,747.898,0,0,0,293,5.1534e+07
0.0412779,0.00727065,0.0352061,0,721.624,-0.0203812,-0.0192409,0.042,0.000336114,0.0002757,-0.00028502,0,0,721.624,0,0,0,293,5.16912e+07
0.042303,0.00701167,0.0364621,0,694.623,-0.0209813,-0.0197297,0.043,0.000349906,0.000281438,-0.000313015,0,0,694.623,0,0,0,293,5.17852e+07
0.043329,0.00674882,0.0377202,0,667.42,-0.0215875,-0.0202131,0.044,0.000360864,0.000283236,-0.000359114,0,0,667.42,0,0,0,293,5.18593e+07
0.0443558,0.00648487,0.0389781,0,640.279,-0.0221994,-0.0206905,0.045,0.000374772,0.000282012,-0.000418784,0,0,640.279,0,0,0,293,5.19271e+07
0.0453833,0.00622132,0.0402348,0,613.336,-0.0228223,-0.0211563,0.046,0.000391239,0.000283396,-0.000484382,0,0,613.336,0,0,0,293,5.19927e+07
