EVM,Mode 1,Mode 2
0.155085,2.1359e+14,0.048509
0.156085,2.14536e+14,0.0501381
0.157084,2.15482e+14,0.0517826
0.158084,2.16415e+14,0.053415
0.159084,2.19222e+14,0.0550672
0.160083,2.20136e+14,0.056733
0.161083,2.21047e+14,0.0583885
0.162082,2.21959e+14,0.06006
0.163082,2.22853e+14,0.0617455
0.164082,2.2732e+14,0.0634484
0.165081,2.28201e+14,0.0651528
0.166081,2.29082e+14,0.0668547
0.167081,2.29955e+14,0.0685551
0.168081,2.30824e+14,0.0702678
0.169081,2.34105e+14,0.0719839
0.17008,2.34954e+14,0.0737078
0.171079,2.35795e+14,0.075433
0.17208,2.36628e+14,0.0771569
0.173079,2.3746e+14,0.0788977
0.174079,2.38896e+14,0.0806412
0.175078,2.39709e+14,0.0824084
0.176077,2.40514e+14,0.0841733
0.177076,2.41321e+14,0.0859408
0.178076,2.42122e+14,0.0876985
0.179075,2.4292e+14,0.0894629
0.180075,2.45391e+14,0.0912306
0.181073,2.46175e+14,0.0930125
0.182073,2.46957e+14,0.0947937
0.183072,2.47733e+14,0.0965924
0.184072,2.485e+14,0.0983939
0.185071,2.49265e+14,0.100195
0.186071,2.50029e+14,0.101998
0.187071,2.50785e+14,0.103794
0.18807,2.53246e+14,0.105599
0.189069,2.53996e+14,0.107415
0.190069,2.54744e+14,0.109233
0.191068,2.55487e+14,0.111056
0.192068,2.56231e+14,0.112884
0.193068,2.5697e+14,0.114713
0.194067,2.57708e+14,0.116549
0.195067,2.58438e+14,0.118381
0.196066,2.59166e+14,0.12022
0.197066,2.59887e+14,0.122063
0.198066,2.60603e+14,0.123912
0.199066,2.63281e+14,0.125775
0.200065,2.63984e+14,0.12763
