EVM,Mode 1,Mode 2
0,0,0
0.000486742,2.12764e+11,5.1188e-14
0.000986155,2.67916e+11,1.852e-13
0.00148644,3.30171e+11,4.18072e-13
0.00198706,3.98523e+11,7.67006e-13
0.00248736,4.71932e+11,1.26535e-12
0.00298785,5.53942e+11,2.0924e-12
0.00348852,6.42022e+11,3.25517e-12
0.00398889,7.36268e+11,4.97952e-12
0.00448944,8.3735e+11,7.39918e-12
0.00498974,9.44435e+11,1.0837e-11
0.00549013,1.05821e+12,1.5818e-11
0.00599059,1.17888e+12,2.26434e-11
0.00649079,1.3053e+12,3.21377e-11
0.00699113,1.43845e+12,4.56214e-11
0.00749163,1.57821e+12,6.37362e-11
0.00799186,1.7237e+12,8.85336e-11
0.00849217,1.87581e+12,1.22294e-10
0.00899247,2.03423e+12,1.68016e-10
0.00949277,2.1989e+12,2.29603e-10
0.00999314,2.36946e+12,3.121e-10
0.0104935,2.54612e+12,4.22041e-10
0.0109937,2.72925e+12,5.67992e-10
0.0114941,2.91811e+12,7.60606e-10
0.0119944,3.113e+12,1.01372e-09
0.0124946,3.31423e+12,1.34497e-09
0.0129949,3.52148e+12,1.77655e-09
0.0134952,3.73424e+12,2.33592e-09
0.0139955,3.95283e+12,3.05801e-09
0.0144958,4.17761e+12,3.98667e-09
0.0149961,4.40778e+12,5.17529e-09
0.0154964,4.6436e+12,6.6905e-09
0.0159967,4.88507e+12,8.61461e-09
0.016497,5.13207e+12,1.10479e-08
0.0169973,5.38462e+12,1.41139e-08
0.0174976,5.64263e+12,1.79623e-08
0.0179981,5.90386e+12,2.26617e-08
0.0184984,6.17247e+12,2.86201e-08
0.0189987,6.44617e+12,3.6018e-08
0.0194989,6.72516e+12,4.51753e-08
0.0199991,7.00935e+12,5.64681e-08
0.0204994,7.29869e+12,7.03569e-08
0.0209997,7.59299e+12,8.7371e-08
0.0215001,7.89144e+12,1.08143e-07
0.0220004,8.1955e+12,1.33434e-07
0.0225007,8.5044e+12,1.64138e-07
0.0230011,8.81715e+12,2.01269e-07
0.0235013,9.1353e+12,2.4608e-07
0.0240016,9.45816e+12,2.99996e-07
0.0245019,9.7856e+12,3.6469e-07
0.0250022,1.01175e+13,4.42084e-07
0.0255026,1.04529e+13,5.3439e-07
0.0260029,1.07935e+13,6.44233e-07
0.0265031,1.11365e+13,7.70856e-07
0.0270035,1.14856e+13,9.24727e-07
0.0275038,1.18384e+13,1.10639e-06
0.0280043,1.21941e+13,1.32028e-06
0.0285046,1.25546e+13,1.57156e-06
0.0290049,1.29191e+13,1.86615e-06
0.0295052,1.32874e+13,2.2106e-06
0.0300055,1.36587e+13,2.59994e-06
0.0305059,1.40342e+13,3.06704e-06
0.0310062,1.44133e+13,3.60963e-06
0.0315065,1.47967e+13,4.21864e-06
0.0320068,1.5182e+13,4.9455e-06
0.0325074,1.55701e+13,5.78409e-06
0.0330077,1.59634e+13,6.72067e-06
0.0335082,1.6357e+13,7.8294e-06
0.0340085,1.67552e+13,9.10116e-06
0.034509,1.71559e+13,1.05144e-05
0.0350093,1.75596e+13,1.21757e-05
0.0355096,1.79667e+13,1.40697e-05
0.0360099,1.83776e+13,1.61654e-05
0.0365102,1.87895e+13,1.8612e-05
0.0370105,1.92048e+13,2.13857e-05
0.0375112,1.96213e+13,2.44399e-05
0.0380115,2.00403e+13,2.79802e-05
0.0385119,2.04625e+13,3.19717e-05
0.0390124,2.08861e+13,3.63486e-05
0.0395127,2.13121e+13,4.13897e-05
0.040013,2.17407e+13,4.70421e-05
0.0405133,2.21726e+13,5.32168e-05
0.0410136,2.26044e+13,6.02827e-05
0.0415142,2.30372e+13,6.81604e-05
0.0420146,2.34745e+13,7.67319e-05
0.0425151,2.39098e+13,8.73165e-05
0.0430155,2.43478e+13,0.000104804
0.0435158,2.47874e+13,0.000129003
0.0440161,2.52261e+13,0.000157349
0.0445167,2.56642e+13,0.000192556
0.045017,2.61055e+13,0.000231684
0.0455174,2.65446e+13,0.000279248
0.0460178,2.69849e+13,0.00033336
0.0465186,2.74238e+13,0.00039244
0.0470189,2.78624e+13,0.00046101
0.0475192,2.83023e+13,0.000534653
0.0480197,2.87417e+13,0.000610331
0.0485201,2.918e+13,0.00069908
0.0490204,2.96191e+13,0.000792161
0.0495208,3.00595e+13,0.000889167
0.0500211,3.04979e+13,0.000991222
0.0505216,3.09363e+13,0.00109962
0.0510224,3.13728e+13,0.00121393
0.0515228,3.18085e+13,0.00133878
0.0520235,3.22413e+13,0.00147633
0.0525239,3.26764e+13,0.00162058
0.0530243,3.31119e+13,0.00177044
0.053525,3.3541e+13,0.0019346
0.0540253,3.39711e+13,0.00211196
0.054526,3.43976e+13,0.00229721
0.0550264,3.48247e+13,0.00248747
0.055527,3.52491e+13,0.00268684
0.0560274,3.56732e+13,0.00289131
0.0565279,3.6096e+13,0.00309957
0.0570284,3.65171e+13,0.00331969
0.0575289,3.69355e+13,0.00355268
0.0580293,3.73517e+13,0.00379856
0.0585298,3.77653e+13,0.00405558
0.0590303,3.81764e+13,0.00432677
0.0595308,3.85845e+13,0.00461187
0.0600313,3.89884e+13,0.00491713
0.0605318,3.93891e+13,0.0052358
0.0610322,3.97856e+13,0.005575
0.0615327,4.01781e+13,0.00593129
0.0620332,4.05662e+13,0.00630951
0.0625337,4.09508e+13,0.0067034
